[5.98, 4.48, 3.04, 4.21, 3.46, 4.68, 3.64, 5.75, 4.45, 3.43, 3.23, 3.48, 4.79, 4.82, 5.47, 2.86, 3.58, 4.56, 3.53, 3.5, 4.79, 4.14, 6.8]
[5.1, 4.48, 2.77, 6.48, 3.39, 4.68, 4.94, 7.97, 4.27, 3.43, 4.13, 3.48, 4.79, 5.49, 5.47, 2.86, 3.58, 4.33, 3.76, 3.5, 4.4, 4.14, 6.57]
[5.7, 5.45, 3.72, 4.19, 3.47, 6.7, 6.2, 5.91, 5.33, 4.8, 4.27, 5.65, 5.92, 7.0, 4.83, 3.56, 4.81, 5.55, 7.52, 4.44, 6.69, 4.08, 4.11]
[6.09, 5.55, 3.26, 4.36, 3.87, 6.47, 5.16, 8.4, 4.76, 5.85, 4.61, 5.85, 7.91, 6.11, 6.58, 3.96, 4.9, 5.68, 8.14, 4.71, 9.47, 4.58, 6.36]

[5.22, 3.72, 2.99, 2.64, 3.42, 5.16, 4.22, 4.84, 2.92, 2.87, 2.28, 4.32, 5.51, 4.92, 4.14, 2.25, 2.66, 3.01, 3.27, 2.85, 3.78, 2.96, 4.16]
[5.27, 3.72, 2.76, 4.11, 3.1, 4.34, 4.6, 6.3, 3.26, 2.87, 2.63, 4.32, 5.51, 5.21, 4.14, 2.31, 2.66, 3.01, 3.27, 2.54, 4.65, 3.08, 5.13]
[5.76, 5.62, 2.94, 4.62, 2.57, 7.01, 4.0, 5.3, 2.99, 3.59, 3.45, 5.69, 5.32, 5.87, 5.3, 2.43, 2.84, 3.75, 5.46, 3.62, 6.88, 2.6, 3.82]
[6.23, 4.35, 2.56, 3.41, 3.55, 5.08, 4.02, 6.64, 4.39, 4.44, 3.45, 4.59, 6.4, 5.23, 5.55, 2.38, 4.54, 4.96, 4.09, 3.59, 8.26, 3.5, 4.26]

[5.31, 2.63, 2.57, 3.03, 2.89, 4.37, 3.25, 3.91, 3.1, 3.23, 2.2, 4.82, 4.48, 4.23, 3.45, 2.38, 2.85, 3.19, 3.92, 2.17, 4.09, 2.4, 3.89]
[4.94, 2.63, 2.57, 2.98, 2.89, 3.56, 2.48, 3.91, 2.93, 2.83, 2.2, 3.47, 4.48, 5.29, 4.34, 2.08, 2.94, 2.92, 3.96, 2.12, 3.99, 2.31, 3.31]
[5.04, 5.11, 2.35, 3.19, 2.36, 5.36, 2.89, 4.9, 3.06, 2.83, 2.84, 5.25, 4.43, 4.53, 6.18, 2.64, 2.25, 3.43, 5.43, 2.7, 7.01, 2.13, 3.06]
[5.57, 3.98, 2.63, 2.74, 3.29, 5.64, 3.4, 5.42, 3.03, 3.22, 3.04, 3.47, 5.33, 4.88, 5.12, 2.14, 3.26, 3.61, 3.87, 2.73, 8.07, 2.48, 4.27]
